event_id,user_id,timestamp,modality,match_score,device_id,location,attempt_count,outcome,session_duration_sec,is_fraud,fraud_pattern
8345d6d3-3d72-4c0e-a3ed-6309e25c2f4a,USR-0025,2024-01-01 02:06:00,keystroke_dynamics,0.7493,DEV-0009,London,1,success,227,True,off_hours
adc1e2f7-5de4-40f7-97f4-d848fbd3d538,USR-0181,2024-01-01 02:25:00,keystroke_dynamics,0.801,DEV-0032,Manchester,1,success,226,True,off_hours
e19d4f0a-1c44-4135-a9d4-de06342ed9b4,USR-0082,2024-01-01 03:51:00,face,0.8385,DEV-0030,Manchester,1,success,127,True,off_hours
e0222432-7ca5-4928-97dd-06916a71efda,USR-0036,2024-01-01 04:06:00,voice,0.795,DEV-0044,New York,1,success,168,True,off_hours
e586ee20-c73e-49e9-9806-9315ce62665f,USR-0178,2024-01-01 04:30:00,voice,0.9181,DEV-0041,New York,1,success,197,True,off_hours
4c1e172a-15e9-4ee4-8e14-39774d126ab1,USR-0142,2024-01-01 07:01:00,voice,0.8543,DEV-0009,Manchester,1,success,206,False,
cff14c0e-c7eb-4d43-ba4e-f72fd8139af7,USR-0078,2024-01-01 07:09:00,voice,0.8123,DEV-0034,Manchester,1,success,153,False,
56b243cd-da26-4c89-a4b5-6f4e08335cee,USR-0078,2024-01-01 07:09:00,voice,0.5785,DEV-0034,Manchester,17,success,153,True,rapid_retry
b16d3da7-1d8b-469b-b8ef-0017bf89444e,USR-0151,2024-01-01 07:11:00,face,0.8111,DEV-0040,New York,1,success,200,False,
e45a87e8-039a-4ed5-b337-b2615f8392d5,USR-0048,2024-01-01 07:11:00,fingerprint,0.7545,DEV-0046,Manchester,1,success,213,False,
5fcf5c22-b9b0-4c1a-baf9-706d802ddcc4,USR-0113,2024-01-01 07:18:00,fingerprint,0.8401,DEV-0014,New York,1,success,202,False,
034f2029-1545-4b48-9b4e-279bfbab907a,USR-0173,2024-01-01 07:18:00,face,0.7802,DEV-0014,Manchester,1,success,124,False,
43472a28-9f0e-470b-b404-7ec736ff812d,USR-0171,2024-01-01 07:19:00,fingerprint,0.7529,DEV-0048,New York,1,success,212,False,
50f53bd8-72e8-4652-884c-0a556b893000,USR-0103,2024-01-01 07:20:00,keystroke_dynamics,0.7803,DEV-0020,London,1,success,159,False,
d5108bc0-2f9e-4ddb-b302-8b32230da680,USR-0085,2024-01-01 07:21:00,keystroke_dynamics,0.8126,DEV-0017,London,1,success,204,False,
4ce09ecb-cfa2-4fb8-8199-322e3ba58126,USR-0067,2024-01-01 07:21:00,face,0.8234,DEV-0044,London,1,success,167,False,
7d2f4e58-b47a-4c5b-b0b3-901535102852,USR-0026,2024-01-01 07:24:00,keystroke_dynamics,0.8226,DEV-0047,New York,1,success,247,False,
aa5f8dfc-a0b3-4a83-b002-9577e4f364d5,USR-0098,2024-01-01 07:24:00,keystroke_dynamics,0.8187,DEV-0026,London,1,success,177,False,
7eb3a98f-de7a-49b4-8271-441846b1654a,USR-0149,2024-01-01 07:25:00,keystroke_dynamics,0.7822,DEV-0030,Manchester,1,success,296,False,
cb5475bf-3c31-485d-ae35-0ed7ce955086,USR-0149,2024-01-01 07:25:00,keystroke_dynamics,0.6142,DEV-0030,Manchester,20,success,296,True,rapid_retry
f8205c5f-17c5-42e0-9fe9-048dd08308b0,USR-0170,2024-01-01 07:26:00,fingerprint,0.7606,DEV-0033,London,1,success,168,False,
a4282ec4-27e6-487b-84ec-ea3290389f81,USR-0181,2024-01-01 07:31:00,keystroke_dynamics,0.801,DEV-0032,Manchester,1,success,226,False,
2e2f2127-babf-4375-b17f-b7867d929cc0,USR-0128,2024-01-01 07:38:00,fingerprint,0.7027,DEV-0001,Manchester,1,success,167,False,
24f43c62-b523-40de-9b87-d29c4cfd0fc1,USR-0030,2024-01-01 07:42:00,fingerprint,0.9016,DEV-0008,Manchester,1,success,127,False,
43d643ed-236e-4832-a7f6-a2ac5b0c4170,USR-0066,2024-01-01 07:49:00,keystroke_dynamics,0.8241,DEV-0050,London,1,success,99,False,
